year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2013,Hyundai,Santa Fe,4.7,automatic,SUV,black,beige,17367,21400,43,24100
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,white,beige,11847,24200,43,25000
2013,Infiniti,G Sedan,4.1,automatic,G Sedan,gray,black,15562,23800,1,24500
2013,Hyundai,Sonata,4.3,automatic,Sedan,white,burgundy,18479,16900,17,18100
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,black,black,22021,23000,43,22000
2013,Hyundai,Accent,2,automatic,Sedan,black,beige,34136,9700,43,8100
2013,Infiniti,G Sedan,4,automatic,G Sedan,gray,â€”,28668,22400,43,23000
2013,Hyundai,Veloster,3.6,automatic,Hatchback,white,black,10474,15000,7,16100
2013,Infiniti,G Coupe,4.2,automatic,G Coupe,gray,black,16338,25700,4,25500
2013,Hyundai,Accent,3.5,automatic,Sedan,silver,gray,47010,9275,43,3500
2013,Hyundai,Elantra Coupe,4.3,automatic,Elantra Coupe,black,black,11809,14600,35,16100
2013,Infiniti,G Coupe,4.2,automatic,G Coupe,white,black,15131,25900,42,26000
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,black,black,28053,22300,43,25000
2013,Infiniti,G Sedan,4.1,automatic,G Sedan,blue,gray,19587,23300,7,23500
2013,Infiniti,G Sedan,4.6,automatic,G Sedan,gray,black,20246,23200,26,24750
2013,Infiniti,G Sedan,4.1,automatic,G Sedan,â€”,beige,19957,23300,43,21750
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,white,black,17337,23600,43,20250
2013,Hyundai,Sonata,1,automatic,Sedan,white,tan,48510,11350,43,6500
2013,Infiniti,G Sedan,3.6,automatic,G Sedan,blue,black,23104,22900,43,22750
2013,Infiniti,G Sedan,4.6,automatic,G Sedan,white,beige,5017,25100,43,23500
2013,Infiniti,G Sedan,2.2,automatic,G Sedan,gray,black,24054,22900,43,18750
2013,Hyundai,Sonata,3.7,automatic,Sedan,silver,gray,36194,12150,43,13200
2013,Infiniti,G Sedan,2.6,automatic,G Sedan,white,tan,14264,23900,36,20750
2013,Hyundai,Sonata Hybrid,4.7,automatic,Sedan,silver,gray,8595,19100,43,18500
2013,Hyundai,Accent,4.6,automatic,Hatchback,black,black,9927,10800,43,11300
2013,Hyundai,Elantra,3.5,automatic,Sedan,beige,beige,37759,11400,43,11800
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,white,â€”,17232,23600,28,24500
2013,Infiniti,FX,4.1,automatic,SUV,gray,black,40087,27700,43,27250
2013,Hyundai,Elantra,1,automatic,Sedan,gray,gray,25960,12100,43,8800
2013,Infiniti,G Sedan,3.5,automatic,G Sedan,white,black,25132,22600,42,23500
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,black,14887,23900,43,24500
2013,Hyundai,Accent,3.6,automatic,Sedan,gray,beige,41841,9425,43,9400
2013,Hyundai,Azera,4.5,automatic,Sedan,silver,black,34566,20000,22,20300
2013,Hyundai,Santa Fe,5,automatic,SUV,black,black,10747,19850,23,25800
2013,Hyundai,Elantra,1,automatic,Sedan,gray,gray,42798,11100,43,7600
2013,Hyundai,Sonata Hybrid,4.4,automatic,Sedan,white,tan,16684,14900,43,14800
2013,Infiniti,G Sedan,1.9,automatic,G Sedan,gray,beige,18420,23700,43,18250
2013,Hyundai,Elantra,2,automatic,Sedan,gray,gray,35824,11500,43,8700
2013,Infiniti,G Coupe,4.1,automatic,G Coupe,black,black,17090,25600,43,21500
2013,Infiniti,G Coupe,2.6,automatic,G Coupe,black,black,12735,26300,7,22500
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,blue,black,24031,22800,43,20500
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,gray,black,29907,21400,43,21000
2013,Hyundai,Tucson,4.2,automatic,SUV,red,black,19109,16450,43,17500
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,black,26396,22500,43,23750
2013,Infiniti,G Sedan,2.1,automatic,G Sedan,gray,black,23507,23000,40,21000
2013,Hyundai,Sonata,3.8,automatic,Sedan,white,tan,34745,12250,43,12700
2013,Hyundai,Elantra,4.8,automatic,Sedan,black,gray,10564,15350,43,16500
2013,Hyundai,Azera,4.7,automatic,Sedan,black,black,16132,21200,14,21400
2013,Infiniti,G Sedan,4.7,automatic,G Sedan,gray,gray,16854,23600,43,25750
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,black,19551,23300,43,25000
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,brown,black,14486,23900,43,22000
2013,Hyundai,Sonata Hybrid,4.2,automatic,Sedan,white,beige,17831,17750,43,18200
2013,Infiniti,G Sedan,2.7,automatic,G Sedan,gray,gray,26792,22600,31,18000
2013,Hyundai,Azera,4.3,automatic,Sedan,silver,beige,19152,21000,23,22200
2013,Infiniti,G Coupe,4.4,automatic,G Coupe,white,black,19492,25300,43,26250
2013,Hyundai,Sonata,3.4,automatic,Sedan,blue,gray,50160,11500,43,11900
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,white,black,19368,23300,41,23000
2013,Hyundai,Genesis,3.9,automatic,Sedan,white,black,12154,27900,43,27500
2013,Hyundai,Equus,4.3,automatic,Sedan,white,beige,11566,36800,43,25000
2013,Infiniti,G Sedan,4.7,automatic,G Sedan,white,beige,25635,22600,26,26500
2013,Hyundai,Sonata,3.7,automatic,Sedan,blue,gray,39062,12000,43,12200
2013,Hyundai,Elantra,2,automatic,Sedan,gray,gray,29006,11900,43,8700
2013,Hyundai,Elantra,4.8,automatic,Sedan,red,beige,8559,13150,25,10800
2013,Infiniti,G Sedan,3.9,automatic,G Sedan,gray,black,26907,22400,43,21750
2013,Infiniti,G Sedan,3.4,automatic,G Sedan,gray,black,14765,23900,43,23500
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,gray,18673,23400,43,22000
2013,Hyundai,Elantra,3.5,automatic,Sedan,red,beige,37279,11400,35,4500
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,white,black,20707,23200,43,23500
2013,Hyundai,Veloster,4.2,automatic,Hatchback,black,black,8467,15050,43,16300
